doc_id,title,url,fecha_descarga,vigencia,tipo,observaciones
cal_2025,Calendario Académico 2025,https://campusvirtual.ufro.cl/pluginfile.php/2485034/mod_resource/content/4/calendario%20academico%202025.txt,2025-09-24,2025,TXT,Campus Virtual UFRO
convivencia_2025,Reglamento de Convivencia Universitaria,https://campusvirtual.ufro.cl/pluginfile.php/2487020/mod_resource/content/4/REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA.pdf,2025-09-24,2025,PDF,Versión vigente 2025
reg_estudios_2023,Reglamento de Régimen de Estudios (2023),https://campusvirtual.ufro.cl/pluginfile.php/2487021/mod_resource/content/3/ReglamentodeRegimendeEstudios__2023_.pdf,2025-09-24,2023,PDF,Revisar si hay actualización 2024/2025
